"Flag","Flags"
"A","Aggregate, may include official, semi-official, estimated or calculated data"
"M","Data not available"
"R","Estimated data using trading partners database"
"Im","FAO data based on imputation methodology"
"F","FAO estimate"
"","Official data"
"*","Unofficial figure"
